Classifier,Cell_Type_1,Cell_Type_2,Correlation,P_value,Correlation_Variance,CV_Cell_Type_1,CV_Cell_Type_2,FDR_corrected_pvalue
Fast,Classical Monocytes,Terminal Effector CD8+ T cells,0.0833333333333333,0.04075771521047389,0.0,0.322539260876773,1.0528153739767316,0.048909258252568664
Fast,Classical Monocytes,Th1/Th2-like T cells,-0.016666666666666604,0.6830636447614804,1.2158648638808308e-35,0.322539260876773,0.5070853226042543,0.7041893244963716
Fast,Classical Monocytes,Transitional Monocytes,0.6500000000000001,0.0,1.2450456206139707e-32,0.322539260876773,0.3602018691989214,0.0
Fast,Classical Monocytes,Transitional/activated B cells,-0.627620556566792,0.0,4.980182482455883e-32,0.322539260876773,1.0969764604362944,0.0
Fast,Eosinophils,Innate Lymphoid Cell Precursors,-0.3500000000000001,0.0,1.2450456206139707e-32,0.8533588143356079,2.1510088216297443,0.0
Fast,Eosinophils,Low density Neutrophils,-0.04999999999999989,0.2202863591873987,4.863459455523323e-35,0.8533588143356079,1.2153080008256492,0.24476262131933188
Fast,Eosinophils,MAIT/NKT-like cells,0.0,1.0,0.0,0.8533588143356079,0.8509500015214381,1.0
Fast,Eosinophils,Memory B cells,0.3916747259003202,0.0,1.2450456206139707e-32,0.8533588143356079,4.936668335051579,0.0
Fast,Eosinophils,NK cell,0.033333333333333305,0.4140431958714845,4.863459455523323e-35,0.8533588143356079,0.5405390684327066,0.43736957310368085
Fast,Eosinophils,Naive B cells,0.2333333333333334,5.789496437813568e-09,7.003381615953586e-33,0.8533588143356079,0.38561806122690506,8.952829543010673e-09
Fast,Eosinophils,Naive CD4+ T cells,0.5333333333333332,0.0,1.2450456206139707e-32,0.8533588143356079,0.5118875243840818,0.0
Fast,Eosinophils,Naive CD8+ T cells,-0.15,0.000213763745231077,0.0,0.8533588143356079,0.7128846559749665,0.00028757454515391525
Fast,Eosinophils,Neutrophils,-0.4166666666666666,0.0,0.0,0.8533588143356079,0.0877853117203214,0.0
Fast,Eosinophils,Non-Classical Monocytes,0.5166666666666666,0.0,1.2450456206139707e-32,0.8533588143356079,0.4851705394233283,0.0
Fast,Eosinophils,Plasmablast B cells,0.26666666666666655,2.1749935186221592e-11,3.112614051534927e-33,0.8533588143356079,1.2120869810854338,3.7499888252106194e-11
Fast,Eosinophils,Plasmacytoid Dendritic cells,0.6833333333333336,0.0,4.980182482455883e-32,0.8533588143356079,0.44866367643496735,0.0
Fast,Eosinophils,Regulatory Myeloid Cells/Monocytic Myeloid-derived Suppressor cells,-0.3,3.419486915845482e-14,0.0,0.8533588143356079,0.9237500679855754,6.748987333905556e-14
Fast,Eosinophils,Regulatory T cells,0.39999999999999986,0.0,3.112614051534927e-33,0.8533588143356079,1.4451019580649032,0.0
Fast,Eosinophils,TCRγδ T-cell,0.11666666666666664,0.004094207235746605,1.7508454039883964e-33,0.8533588143356079,0.875733529585747,0.0053171522542163705
Fast,Eosinophils,Terminal Effector CD4+ T cells,-0.6333333333333332,0.0,1.2450456206139707e-32,0.8533588143356079,1.131099819448879,0.0
Fast,Eosinophils,Terminal Effector CD8+ T cells,-0.3500000000000001,0.0,1.2450456206139707e-32,0.8533588143356079,1.0528153739767316,0.0
Fast,Eosinophils,Th1/Th2-like T cells,0.21666666666666656,6.940806440702829e-08,7.781535128837317e-34,0.8533588143356079,0.5070853226042543,1.0463527297541954e-07
Fast,Eosinophils,Transitional Monocytes,0.31666666666666654,8.881784197001252e-16,3.112614051534927e-33,0.8533588143356079,0.3602018691989214,1.8376105235175006e-15
Fast,Eosinophils,Transitional/activated B cells,-0.2761530448893885,3.79496434277371e-12,3.112614051534927e-33,0.8533588143356079,1.0969764604362944,6.899935168679472e-12
Fast,Innate Lymphoid Cell Precursors,Low density Neutrophils,0.2833333333333333,9.64783808399261e-13,0.0,2.1510088216297443,1.2153080008256492,1.7648484299986484e-12
Fast,Innate Lymphoid Cell Precursors,MAIT/NKT-like cells,0.0833333333333333,0.04075771521047389,0.0,2.1510088216297443,0.8509500015214381,0.048909258252568664
Fast,Innate Lymphoid Cell Precursors,Memory B cells,-0.30463589792247114,1.2878587085651816e-14,3.112614051534927e-33,2.1510088216297443,4.936668335051579,2.646285017599688e-14
Fast,Innate Lymphoid Cell Precursors,NK cell,0.3666666666666667,0.0,0.0,2.1510088216297443,0.5405390684327066,0.0
Fast,Innate Lymphoid Cell Precursors,Naive B cells,0.6,0.0,0.0,2.1510088216297443,0.38561806122690506,0.0
Fast,Innate Lymphoid Cell Precursors,Naive CD4+ T cells,0.0,1.0,0.0,2.1510088216297443,0.5118875243840818,1.0
Fast,Innate Lymphoid Cell Precursors,Naive CD8+ T cells,0.39999999999999986,0.0,3.112614051534927e-33,2.1510088216297443,0.7128846559749665,0.0
Fast,Innate Lymphoid Cell Precursors,Neutrophils,0.13333333333333328,0.0010178368622439926,7.781535128837317e-34,2.1510088216297443,0.0877853117203214,0.0013571158163253234
Fast,Innate Lymphoid Cell Precursors,Non-Classical Monocytes,-0.033333333333333305,0.4140431958714845,4.863459455523323e-35,2.1510088216297443,0.4851705394233283,0.43736957310368085
Fast,Innate Lymphoid Cell Precursors,Plasmablast B cells,0.3333333333333334,0.0,1.2450456206139707e-32,2.1510088216297443,1.2120869810854338,0.0
Fast,Innate Lymphoid Cell Precursors,Plasmacytoid Dendritic cells,-0.5,0.0,0.0,2.1510088216297443,0.44866367643496735,0.0
Fast,Innate Lymphoid Cell Precursors,Regulatory Myeloid Cells/Monocytic Myeloid-derived Suppressor cells,0.6500000000000001,0.0,1.2450456206139707e-32,2.1510088216297443,0.9237500679855754,0.0
Fast,Innate Lymphoid Cell Precursors,Regulatory T cells,0.4166666666666666,0.0,0.0,2.1510088216297443,1.4451019580649032,0.0
Fast,Innate Lymphoid Cell Precursors,TCRγδ T-cell,-0.48333333333333334,0.0,3.112614051534927e-33,2.1510088216297443,0.875733529585747,0.0
